"","GSM614501_Sample_1.CEL","GSM614502_Sample_2.CEL","GSM614503_Sample_3.CEL","GSM614504_Sample_4.CEL","GSM614505_Sample_5.CEL","GSM614506_Sample_6.CEL","GSM614507_Sample_7.CEL","GSM614508_Sample_8.CEL","GSM614509_Sample_9.CEL","GSM614510_Sample_10.CEL","GSM614511_Sample_11.CEL","GSM614512_Sample_12.CEL","GSM614513_Sample_13.CEL","GSM614514_Sample_14.CEL","GSM614515_Sample_15.CEL","GSM614516_Sample_16.CEL","GSM614517_Sample_17.CEL","GSM614518_Sample_18.CEL","GSM614519_Sample_19.CEL","GSM614520_Sample_20.CEL","GSM614521_Sample_21.CEL","GSM614522_Sample_22.CEL","GSM614523_Sample_23.CEL","GSM614524_Sample_24.CEL"
"AAMDC",9.10957928657587,9.08124269223029,9.09061450337905,9.15030846479874,9.18384456999553,9.2392700795255,9.22994063230816,9.06027006092895,9.15513793372185,9.1575206410063,9.20516950846724,9.11554632091144,8.97103663143566,8.9989356265372,9.07319381495817,9.07988585211124,8.91038418109691,9.02582494019473,9.297196925647,9.30424172797258,9.28543668149971,9.22910372515354,9.1001643972088,9.255135181752
"AAMP",9.76201745462225,9.77461121745973,9.85091915844748,9.88626612116392,9.79248537589693,9.78714431591393,10.0450977686431,9.93549889250493,9.90842097838289,9.95015462449717,9.8800484627225,9.87526489551186,9.89977401748222,9.83452157201916,9.97486238543796,9.88778355151381,9.83500666920781,9.8246274692971,10.0015925801696,9.96251568421301,10.0175599793613,9.99141131404145,9.97597274483884,10.0839443293699
"AANAT",3.81874386826851,3.87068505585819,3.98424667140383,3.98479843518542,3.96863618165066,3.92333346616252,3.93246756501032,4.23060905148604,3.85175619913496,4.29272030116965,4.06547597360786,3.90306366613347,3.88279252550547,3.94491500379534,3.69477154493992,3.7712999978704,4.0171184156909,3.9395315211239,3.94698052605862,4.08478875553935,4.10710970706273,3.93890367124039,4.25033760683016,4.08003144273757
"AAR2",9.37154493444545,9.31620203584902,9.32877014727843,9.419961360042,9.3278267912624,9.35803706138705,9.39457306361581,9.28390764124408,9.3877852082496,9.36096529238148,9.38940206115182,9.29638659854545,9.32119201532988,9.27398629625267,9.36171596207324,9.3683022101886,9.28982068713801,9.37561906569385,9.32153992885189,9.34396229000471,9.37104469830391,9.32279408928897,9.4377590782712,9.35158675265887
"AARS",10.2444749752551,10.3421517838223,10.3321167445367,10.0027545640051,10.1278763734023,10.0434032944523,10.2469022319144,10.2349209756425,10.1987907519109,10.1880912573495,10.2452571459516,10.1289037980206,10.3539546354795,10.2359612259887,10.3307458580817,10.1072988245844,10.1043350093957,10.0597014755029,10.1942518222095,10.2261987591715,10.2477523417618,10.2425666121933,10.2493511440263,10.2907216545204
"AARS2",7.10950942045918,7.16449539227087,7.12143873376171,7.20491110049598,7.20434419319052,7.18259037137014,7.44459668162163,7.48099701493666,7.27522374085714,7.38153502587287,7.23285301875229,7.37420897719745,7.26180668483623,7.13188395654307,7.28360892327269,7.27942312960402,7.14094599882614,7.25980168549624,7.24363110604351,7.29056806118964,7.37943631345907,7.24348586228713,7.28348615789574,7.36654864239947
"AASDH",7.63153326572822,7.71840241208597,7.83092700210193,7.72287953692046,7.71190998701175,7.73906339916447,7.82484555374757,7.66311696220966,7.71850323260542,7.79618119275121,7.79198557162754,7.72627312139437,7.52398833904472,7.52985123182349,7.65629596494285,7.64676736681297,7.56631088188207,7.4381002895834,7.80972065366733,7.78777747673077,7.90712415971131,7.81042919670668,7.87498395747506,7.88480866713869
"AASDHPPT",9.54560546628526,9.5040235575411,9.54376911354651,9.57798560286492,9.45933845235808,9.4768593809217,9.65955911741696,9.62631854048354,9.76357321116772,9.64089049436273,9.81722874650462,9.72564182110682,9.49900094067064,9.53444014751315,9.54318794718404,9.51074637408449,9.19208514969446,9.17549984165265,9.90123001582742,9.92742752578834,9.71622142023284,9.96134819998934,10.0057548599612,9.91408141162443
"AASS",6.92717204212706,7.06649161652851,6.86752007537957,7.00853520786564,7.07118268237942,7.06489751562556,7.04330301689494,6.96445046724769,7.09591957793543,6.88631835280117,6.93062545869662,6.99062241242928,6.96085735057645,6.94921793952097,6.9672259997468,6.85560271873734,6.71594562617547,6.76013659335394,6.96400399903056,6.95244363218494,7.10037552113763,6.98916090270994,7.05013186687622,6.92925701630159
"AATBC",5.86928875977623,5.97619002196432,5.95660392881414,6.09399485492919,6.07349103993046,6.04458563241937,5.94847321516012,6.12256448377563,6.05597913724051,6.37795482073085,5.81718273365782,6.10025440908888,5.90323764248474,5.67319380345822,5.64040152647663,6.00392668439139,6.10229766392136,6.13813893445307,5.8526278144693,6.11855075482963,5.84801109429683,6.03297464739266,6.05697274776572,6.05717771819791
"AATF",9.01784076748205,8.89863122518213,9.03000665650953,9.0219280330586,9.06372511696486,9.19442369051231,9.31155254096818,9.159519787007,9.23746189819263,9.24200933030136,9.24889718064863,9.11058527762454,9.19180383438932,8.99985079785227,9.14864105146755,9.18207548797389,9.05565365160156,8.99877181753926,9.22497512265894,9.21388663922159,9.25007569182906,9.22360513127542,9.25355540789622,9.29086376885036
"AATK",8.35764662303293,8.54808479946468,8.45068506029211,8.48547252324758,8.27817398909383,8.38897395368884,8.20822168678639,8.52914624138605,8.06540279008205,7.89707340679885,7.93248869939393,8.2447478796017,8.29282642397813,8.45082408826187,8.43479112219137,8.32473142204018,8.583056408609,8.55902942574662,8.04721023284645,8.15536630096573,8.06854041894144,8.12583051670295,8.30733171988304,7.87832651177938
